anex_xml_id,catalog_hotel_id
8340,1121
8342,1122
8343,3310
8347,1407
8348,1410
8350,1415
8351,27653
8360,1436
8363,3414
8372,5530
8374,1494
8375,1134
8379,1138
8382,1453
8387,5545
8390,160587
8396,3435
8398,21697
8399,3437
8401,27426
8403,1467
8405,3339
8407,1468
8408,1254
8416,21820
8423,3417
8431,8685
8432,3231
8441,1149
8443,3228
8459,1247
8461,3342
8464,1499
8466,22712
8470,3172
8471,3171
8478,1153
8479,37454
8480,21703
8482,1553
8483,9337
8498,1520
8499,17642
8502,1525
8508,1536
8509,1539
8512,1542
8519,1559
8533,1577
8534,1578
8535,9354
8540,1583
8541,1585
8549,1213
8551,1472
8558,28338
8574,1192
8577,1339
8580,38132
8583,114146
8591,1313
8596,3410
8597,15889
8601,1321
8602,1469
8621,1324
8623,1323
8629,1305
8631,1304
8632,1301
8635,3169
8637,1226
8638,1229
8639,3303
8640,1300
8642,969
8646,1306
8648,1299
8649,9359
8650,37372
8655,1242
8656,1297
8658,1245
8660,1246
8662,1101
8663,16774
8670,1000
8674,1258
8676,1259
8677,3175
8679,2183
8683,3441
8685,1287
8686,21762
8691,3176
8698,3174
8714,3237
8715,40941
8724,8074
8729,3269
8730,3359
8735,8450
8746,3404
8749,7958
8750,24722
8751,33344
8752,7846
8755,3245
8763,3256
8779,22318
8784,3335
8786,3337
8788,17655
8790,17507
8794,31843
8799,28610
8807,17674
8810,17682
8813,28783
8815,3320
8816,3241
8817,3143
8824,28781
8832,3219
8833,37916
8847,3189
8853,18288
8866,4845
8870,965
8871,966
8873,4262
8876,4817
8880,1026
8882,1033
8900,34428
8901,37931
8916,3227
8923,45024
8925,38327
8930,28471
8933,5604
8939,9170
8947,1877
8949,3691
8955,16737
8957,33182
8965,27765
8971,3890
8978,1840
8981,1895
8982,37318
8984,4020
9002,1843
9012,3302
9021,4786
9029,9211
9030,6559
9032,9195
9036,3235
9039,6701
9048,3234
9050,3385
9051,41149
9052,18571
9053,38738
9058,9240
9061,1649
9062,9259
9063,15891
9065,27644
9066,1610
9069,1601
9072,8447
9074,3383
9075,34474
9080,2147
9083,24915
9084,24914
9085,44689
9088,3268
9090,1916
9111,3753
9124,1319
9144,3452
9145,1684
9146,2238
9147,2239
9156,17513
9158,3300
9160,6849
9162,23201
9172,5608
9179,5630
9184,16050
9188,27912
9192,6394
9196,6365
9198,9190
9202,6483
9205,6529
9209,6621
9213,6558
9218,6683
9222,6651
9225,17409
9226,102661
9230,2236
9231,5544
9233,7825
9235,28764
9250,9344
9267,16674
9269,18096
9272,1873
9274,8548
9285,6733
9296,32322
9297,3212
9299,3200
9302,9471
9303,3198
9305,3209
9306,3208
9307,3195
9309,1824
9311,3203
9312,1945
9319,3808
9321,5707
9347,8673
9354,1661
9361,17486
9362,29053
9365,5554
9367,3384
9377,54854
9379,29357
9380,38339
9381,37525
9382,37381
9389,3145
9399,73480
9401,38290
9403,1614
9404,2175
9409,9556
9410,9537
9411,9530
9418,9545
9419,9550
9433,9525
9434,9542
9436,9294
9438,1838
9440,39193
9446,9516
9453,17524
9456,24651
9461,16862
9464,16866
9465,7281
9469,7124
9470,29064
9471,4005
9472,7005
9482,29073
9490,6963
9492,6989
9494,7077
9500,7106
9501,7107
9509,7223
9514,7411
9515,7408
9516,7413
9517,7410
9523,20524
9524,20529
9528,20630
9530,6821
9534,29076
9536,37236
9543,43449
9570,7307
9575,7002
9576,6810
9577,6837
9579,6864
9580,6865
9581,6876
9585,6942
9589,7003
9590,16849
9595,7032
9596,7162
9601,16827
9607,7149
9609,7158
9614,7219
9616,20590
9617,7245
9618,7232
9619,7234
9620,20596
9624,20637
9626,7266
9629,7381
9630,7378
9631,7033
9635,7433
9641,56056
9646,41461
9650,20602
9653,29039
9656,20474
9658,7101
9660,7217
9663,30559
9709,20667
9716,7199
9717,20574
9718,7233
9721,20638
9722,7339
9725,6980
9726,7017
9727,16856
9731,7150
9733,7230
9752,20589
9753,20591
9754,7255
9755,7048
9808,9017
9810,6897
9819,9041
9821,7060
9831,7152
9834,16933
9837,7218
9839,7224
9842,26745
9845,7268
9846,9068
9868,6825
9871,6836
9880,6852
9883,16822
9885,9021
9886,39094
9890,6894
9894,6908
9897,155321
9899,155321
9906,20490
9909,6946
9913,9038
9917,9040
9922,16848
9923,20516
9926,7020
9927,7026
9933,7051
9939,7088
9942,7095
9947,7108
9949,7136
9952,37261
9953,9058
9955,7160
9958,7189
9962,7207
9970,7259
9978,16897
9982,9069
9984,37265
9987,7305
9995,7334
9998,16912
10001,37251
10003,39126
10007,9081
10008,20654
10015,16921
10016,7053
10018,7385
10019,7386
10021,16928
10022,7392
10026,32107
10038,40239
10040,1250
10045,29102
10046,16929
10049,7366
10051,7346
10054,9074
10056,16901
10058,9063
10060,7155
10062,7104
10064,7028
10067,6875
10074,9553
10075,3232
10079,49496
10081,9505
10083,6640
10086,3173
10087,22834
10094,37668
10098,32135
10102,1930
10106,29156
10109,5249
10111,749
10112,9390
10113,4370
10118,28728
10134,1880
10137,3372
10138,22401
10140,8515
10142,3308
10146,2261
10149,40222
10154,41056
10156,28935
10170,20974
10198,30516
10203,4190
10204,156
10205,428
10206,39073
10213,30331
10226,41463
10228,41474
10230,1651
10231,41148
10232,28480
10233,41418
10236,40922
10239,1640
10241,9446
10257,42542
10264,30432
10265,31946
10278,36453
10287,27571
10291,6915
10292,37275
10299,41475
10302,1833
10305,42539
10313,1943
10314,41296
10318,29045
10319,28500
10332,614
10334,9053
10338,41495
10343,6495
10344,41123
10356,7835
10371,1532
10390,9043
10404,22839
10410,8158
10423,43473
10424,43471
10425,15734
10432,38579
10434,43532
10440,15805
10446,242
10447,38607
10451,24925
10452,43480
10454,38299
10455,7860
10456,32011
10459,1189
10461,42988
10462,30556
10463,19132
10466,9388
10478,38754
10479,17613
10488,30223
10491,42986
10493,43814
10508,43488
10510,43513
10515,18575
10520,43489
10523,4132
10526,4111
10527,21748
10531,745
10535,3874
10537,696
10545,32556
10547,34530
10548,34535
10552,26525
10553,58740
10554,26510
10555,2005
10556,43533
10558,43965
10560,58432
10567,16751
10586,34524
10593,8125
10594,43613
10595,34506
10597,26524
10598,43615
10603,35039
10604,43511
10606,13920
10608,13943
10611,9381
10618,23760
10621,13938
10623,122
10624,22675
10629,43520
10631,707
10632,592
10633,9404
10635,879
10638,44687
10646,43527
10647,26070
10648,23695
10651,42534
10654,43966
10659,34556
10664,44448
10665,44977
10667,37218
10677,12181
10679,2955
10680,7990
10682,44544
10690,44543
10693,44589
10698,43923
10699,7412
10700,33303
10709,626
10711,2982
10712,2027
10717,44530
10721,44672
10722,43618
10723,44431
10724,41284
10725,43617
10735,8586
10736,29591
10746,8534
10747,29629
10750,8532
10751,44673
10752,44813
10753,20959
10758,8230
10760,7967
10761,44532
10762,7193
10763,693
10765,33423
10771,44527
10772,43500
10773,8220
10778,44535
10779,15697
10782,5136
10793,44545
10803,621
10809,14044
10812,8840
10816,44661
10822,5062
10823,22758
10829,22645
10835,43061
10838,44641
10843,24919
10844,5179
10848,8166
10851,33645
10853,2866
10854,44953
10858,12150
10862,2799
10866,2805
10867,2825
10868,28064
10869,2810
10871,28065
10875,2535
10876,2794
10879,33695
10880,12138
10881,2845
10882,2856
10884,2060
10885,43474
10886,44868
10887,44972
10889,44973
10893,2827
10894,2849
10895,2790
10896,2789
10898,45119
10901,43640
10903,2821
10904,24506
10906,45407
10908,5408
10911,42552
10913,5389
10915,36392
10916,5393
10920,42536
10921,7946
10923,4372
10925,35141
10929,43238
10934,2808
10936,12132
10938,2841
10941,8889
10942,2928
10944,2818
10945,5395
10946,33641
10947,24466
10955,12149
10965,2847
10966,12146
10968,43652
10971,12145
10972,24459
10973,2839
10974,2932
10977,24458
10981,8887
10982,2813
10983,38647
10985,5399
10987,45123
10988,36398
10990,2833
10991,28075
10992,2837
10994,43742
10995,24726
10996,43687
10997,2807
10998,2828
10999,12140
11002,23199
11003,2861
11010,33653
11014,8839
11015,13850
11022,2826
11024,32329
11025,24457
11026,4513
11030,8887
11031,8838
11032,24505
11033,24504
11034,38672
11035,12304
11040,12782
11042,2834
11061,12136
11063,4515
11064,5383
11066,28073
11069,43688
11070,24731
11073,5410
11079,997
11081,2518
11084,43719
11094,45199
11096,24944
11122,32220
11125,43484
11132,45356
11136,43689
11137,45508
11140,45245
11141,15773
11145,45264
11148,20975
11152,35012
11153,45280
11154,22862
11161,11429
11165,11435
11169,12211
11172,28325
11173,1444
11175,4508
11176,11443
11177,19273
11179,11468
11180,11428
11181,28319
11184,47025
11187,13120
11190,80828
11199,15752
11203,45498
11214,3131
11219,11446
11221,13133
11230,3141
11238,2858
11260,2918
11261,2714
11262,2715
11264,8267
11267,2720
11268,1365
11269,2709
11270,1111
11273,2700
11275,8270
11276,3225
11277,18580
11279,2716
11280,7932
11281,45580
11283,16372
11284,4653
11286,2721
11290,2725
11291,33099
11295,8254
11300,47024
11303,8282
11310,4650
11312,33100
11316,4620
11322,33103
11336,2724
11339,45077
11340,2707
11343,2728
11346,46011
11348,4615
11352,8271
11353,20921
11354,20920
11361,22850
11367,8264
11369,46673
11371,6379
11374,8268
11375,33186
11378,8286
11379,8295
11381,33345
11386,8164
11387,45642
11388,4621
11398,45734
11407,45735
11409,24920
11411,1989
11417,8111
11427,42083
11432,45802
11433,127518
11436,45801
11437,46019
11440,46016
11441,46001
11442,33189
11444,4612
11445,45814
11449,45800
11461,46008
11462,8289
11470,46012
11473,45998
11478,45417
11480,46000
11481,46020
11482,37230
11483,4642
11494,22851
11497,44974
11503,22852
11509,45806
11515,45816
11517,4827
11519,45737
11525,9136
11529,1729
11537,1754
11545,29280
11552,3050
11554,9151
11560,1737
11561,1736
11563,1735
11564,3040
11569,32487
11571,46064
11572,45852
11574,46063
11577,27474
11582,45757
11592,40451
11594,17749
11597,9112
11603,5305
11606,27535
11609,43642
11627,9110
11628,1756
11629,9120
11634,9163
11640,1781
11650,1760
11653,9104
11669,1812
11673,45749
11674,21771
11693,45710
11706,9050
11707,1579
11710,3247
11711,3248
11712,3246
11742,45910
11745,5316
11747,29318
11753,46090
11755,6550
11763,48352
11769,5354
11770,3528
11774,46083
11777,5371
11798,1036
11799,21850
11801,46168
11815,20255
11817,5493
11818,48207
11820,3519
11821,5460
11822,5330
11824,46080
11826,3510
11827,3482
11844,46242
11858,31505
11862,31509
11863,31511
11870,31520
11872,31521
11873,31524
11874,31528
11875,31529
11893,31559
11894,31561
11902,31575
11903,31582
11905,61392
11908,31579
11914,8531
11917,47033
11920,8185
11925,5492
11926,5504
11938,1183
11950,3518
11953,45408
11956,16762
11957,1050
11962,28754
11969,3569
11972,5375
11977,3508
11979,21863
11981,17761
11982,43423
11987,46482
11989,1946
11994,45720
11996,5471
11997,1903
12005,7103
12009,32384
12014,32097
12021,3523
12022,38637
12023,21864
12026,46285
12031,5362
12043,45775
12050,75440
12069,108039
12082,30473
12083,122601
12085,30348
12093,9369
12108,9006
12115,6397
12123,30258
12125,58891
12133,29633
12137,9052
12139,46084
12144,31917
12150,31526
12151,31530
12158,31580
12161,46647
12163,47497
12166,48345
12172,30122
12184,4321
12185,8157
12186,22660
12193,22646
12200,47027
12216,47094
12218,24883
12223,4394
12224,12179
12227,48145
12229,46921
12339,1793
12341,1766
12342,17009
12348,28632
12363,7876
12366,24634
12368,47052
12370,47054
12381,47053
12404,30166
12407,8284
12410,30297
12413,30314
12422,16366
12423,30238
12428,16368
12433,4633
12434,4591
12435,4651
12436,4592
12438,4635
12440,4604
12461,7552
12481,30091
12482,7398
12496,30108
12505,30129
12508,46866
12512,1057
12517,30182
12528,17055
12558,40658
12559,30498
12568,30144
12577,31942
12590,49731
12606,48243
12608,6999
12609,17019
12610,7555
12623,30171
12624,7571
12627,37946
12629,39414
12637,7513
12638,163235
12665,9114
12669,17010
12674,49150
12687,27818
12698,6699
12705,47348
12718,16989
12720,48796
12725,47564
12731,7529
12736,16987
12737,16981
12744,7494
12750,47609
12753,45921
12754,47867
12774,47606
12776,37952
12792,34710
